Month,Barrel: (United States)
2010-01,33
2010-02,33
2010-03,34
2010-04,42
2010-05,74
2010-06,82
2010-07,36
2010-08,30
2010-09,31
2010-10,29
2010-11,30
2010-12,31
2011-01,37
2011-02,54
2011-03,61
2011-04,53
2011-05,60
2011-06,43
2011-07,33
2011-08,44
2011-09,35
2011-10,34
2011-11,37
2011-12,30
2012-01,32
2012-02,41
2012-03,40
2012-04,36
2012-05,36
2012-06,37
2012-07,30
2012-08,30
2012-09,34
2012-10,35
2012-11,30
2012-12,26
2013-01,28
2013-02,31
2013-03,29
2013-04,30
2013-05,29
2013-06,24
2013-07,28
2013-08,26
2013-09,31
2013-10,29
2013-11,28
2013-12,25
2014-01,27
2014-02,32
2014-03,30
2014-04,30
2014-05,26
2014-06,28
2014-07,28
2014-08,26
2014-09,31
2014-10,47
2014-11,48
2014-12,83
2015-01,100
2015-02,76
2015-03,60
2015-04,50
2015-05,44
2015-06,36
2015-07,46
2015-08,66
2015-09,55
2015-10,43
2015-11,42
2015-12,57
2016-01,97
2016-02,74
2016-03,59
2016-04,51
2016-05,47
2016-06,42
2016-07,35
2016-08,37
2016-09,38
2016-10,35
2016-11,37
2016-12,36
2017-01,35
2017-02,33
2017-03,35
2017-04,34
2017-05,32
2017-06,33
2017-07,30
2017-08,30
2017-09,30
2017-10,30
2017-11,33
2017-12,28
2018-01,34
2018-02,32
2018-03,29
2018-04,35
2018-05,40
2018-06,32
2018-07,31
2018-08,30
2018-09,28
2018-10,33
2018-11,36
2018-12,35
2019-01,34
